,index,text_d_mkt_mean,text_d_mkt_std,text_d_mkt_min,text_d_mkt_p25,text_d_mkt_p50,text_d_mkt_p75,text_d_mkt_max
253,265,0.10706871123540969,0.03415665390470592,0.03980326652526856,0.08188876509666443,0.10422876477241515,0.1252272129058838,0.21374821662902832
254,266,0.1135910295304798,0.03883065061441882,0.03980326652526856,0.0838320255279541,0.10599488019943236,0.13902899622917175,0.21374821662902832
255,267,0.11312269905339116,0.0386587250663453,0.03980326652526856,0.08355236053466797,0.10599488019943236,0.13823193311691284,0.21374821662902832
256,268,0.11558365389920663,0.03876639846160126,0.03980326652526856,0.08486247062683105,0.10978028178215025,0.14326617121696472,0.21374821662902832
257,269,0.12234165246670063,0.042815982083311444,0.03980326652526856,0.08970504999160768,0.11437004804611205,0.14901632070541382,0.2444242238998413
258,270,0.1259154711353813,0.04364301936489223,0.03980326652526856,0.09213793277740479,0.11922013759613034,0.1550883650779724,0.2444242238998413
259,271,0.1267705179299369,0.04261750627805714,0.03980326652526856,0.0936792641878128,0.12300238013267517,0.15571053326129913,0.2444242238998413
260,272,0.14290935927321355,0.07717268876690773,0.03980326652526856,0.0946829319000244,0.12720841169357305,0.1648082137107849,0.491327166557312
261,273,0.14537350399358137,0.07497140525078642,0.03980326652526856,0.09902884066104889,0.1308542788028717,0.16966374218463898,0.491327166557312
262,274,0.14484685731802874,0.0737236771119549,0.03980326652526856,0.09945672750473022,0.13123142719268802,0.16890305280685425,0.491327166557312
